name,title,rating,review
Rudrajit Dey,Great product,4.3,"Excellent phone. Received today with 1 day delivery at no extra cost. I upgraded from Redmi Note 8 pro to this one. Apps.and settings transfer was seamless, fast and easy. No heating while charging and playing videos simultaneously. Battery backup is good. So far performance is quite satisfactory. I will update after few weeks of usage.READ MORE"
Sayyed Sam,Good quality product,5,Nice colorAwesome CameraExcellent DesignSuperb PerformanceREAD MORE
ATUL MISHRA,Very Good,4,The budgeted phone and camera quality is awesome.. Highly recommended..!!READ MORE
Garry Lopes,Awesome,4,Product is too good...overall performance is good.....best part is the camera quality and the sound...READ MORE
Rahul  Jayantilal Joshi,Just wow!,5,Good Product Very GoodREAD MORE
Alan Johnson,Simply awesome,5,I have upgraded to this phone from RMi note 9 pro maxThe camera is good with details and all stuff but its close to natural with a yellow tint it's not that much eye pleasing for many but for me its okokFront camera is average but both camera have good stabilityDisplay is Actually verygood with 120hz best content viewing experienceBattery is ok i have a  minimum usage with no gaming at all it lasts for 1 day easilyPerformance for day to day tasks it's best all the power you needed is...READ MORE
Vikas Kumar  Kumar,Good quality product,5,Good phone. Rate should be 18kREAD MORE
Ravi Ranjan,Terrific,4,Average phone... Value of moneyREAD MORE
PRAVEEN  PRAKASH,Wonderful,5,"One of the best Note series from Redmi 14 pro , Value for money , Dolby Atmos is excellent, fast charging, Over all very good 👍READ MORE"
Avinash  Patil,Terrific,5,"Got the phone within 1 day, that was too good, excellent phone fast charging, good camera quality. Worth the price.READ MORE"
Flipkart Customer,Great product,4.3,Best phoneREAD MORE
Flipkart Customer,Awesome,5,Best phone byy camera quality is the best and processor is very bestREAD MORE
Amit kumar,Nice Product,5,"Nice Product, Upgrading from Redmi Note 11 Pro Plus 5GREAD MORE"
Flipkart Customer,Best in the market!,4,I love this mobile ❤️❤️❤️❤️❤️READ MORE
Neeraj Tomer,Best in the market!,5,Very very good phone after pro+ bought pro versionREAD MORE
Flipkart Customer,Terrific,5,All features are superb except the front camera.I was using a Redmi note 5 pro and trust me it's camera was far better than this 14 pro. The back camera is awesome.READ MORE
Vicky Barmer,Terrific purchase,5,Really best phoneGift to my brotherI love redmi (mi)I buy redmi serise phone form redmi 7 pro.Really very very good phoneREAD MORE
Flipkart Customer,Really Nice,5,Super  battery performanceGood cameraGood performanceREAD MORE
MDS hahjahan,Does the job,4,Very goodREAD MORE
Maragathavel c,Mind-blowing purchase,3,Very niceREAD MORE
Abhinav Sachan,Super!,4.3,Very nice productREAD MORE
Rahul  Dubey,Super!,5,ExcellentREAD MORE
pitabas rana,Good choice,5,Products is good..Design is good..READ MORE
dworika mandal,Fabulous!,4,everything is good 🇳🇵 i am from nepal 🇳🇵❤️❤️READ MORE
